,title,url,rating
23,Pancetta and Taleggio Lasagna with Treviso ,http://www.epicurious.com/recipes/food/views/pancetta-and-taleggio-lasagna-with-treviso-356354,3.75
24,Sea Salt-Roasted Pecans ,http://www.epicurious.com/recipes/food/views/sea-salt-roasted-pecans-233690,3.75
25,Garlic Baguette Crumbs ,http://www.epicurious.com/recipes/food/views/toasted-baguette-crumbs-109142,0.0
26,Cucumber-Basil Egg Salad ,http://www.epicurious.com/recipes/food/views/cucumber-basil-egg-salad-364869,3.75
27,Dried Pear Crisps ,http://www.epicurious.com/recipes/food/views/dried-pear-crisps-239787,2.5
28,"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",http://www.epicurious.com/recipes/food/views/green-bean-red-onion-and-roast-potato-salad-with-rosemary-vinaigrette-12123,4.375
29,Apricot-Cherry Shortcakes ,http://www.epicurious.com/recipes/food/views/apricot-cherry-shortcakes-4096,4.375
30,Asian Steak Topped with Bell Pepper Stir-Fry ,http://www.epicurious.com/recipes/food/views/asian-steak-topped-with-bell-pepper-stir-fry-350398,4.375
31,Moroccan-Style Preserved Lemons ,http://www.epicurious.com/recipes/food/views/moroccan-style-preserved-lemons-242341,5.0
32,Roasted Sweet-Potato Spears with Bacon Vinaigrette ,http://www.epicurious.com/recipes/food/views/roasted-sweet-potato-spears-with-bacon-vinaigrette-236383,4.375
33,Deviled Ham ,http://www.epicurious.com/recipes/food/views/deviled-green-eggs-with-roasted-red-pepper-and-capers,3.125
34,Fontina Mac with Squash and Sage ,http://www.epicurious.com/recipes/food/views/fontina-mac-with-squash-and-sage-51206440,5.0
35,Aztec Chicken ,http://www.epicurious.com/recipes/food/views/aztec-chicken-108576,3.75
36,Pastry Twists with Spiced Sugar-Honey Glaze ,http://www.epicurious.com/recipes/food/views/pastry-twists-with-spiced-sugar-honey-glaze-358569,0.0
37,Sauteed Broccoli Rabe ,http://www.epicurious.com/recipes/food/views/sauteed-broccoli-rabe-350629,4.375
38,Grouper with Tomato and Basil ,http://www.epicurious.com/recipes/food/views/grouper-with-tomato-and-basil-106744,4.375
39,Better-Than-Pita Grill Bread ,http://www.epicurious.com/recipes/food/views/better-than-pita-grill-bread-233267,2.5
40,Coconut-Key Lime Sheet Cake ,http://www.epicurious.com/recipes/food/views/coconut-key-lime-sheet-cake,4.375
41,"Baked Halibut with Orzo, Spinach, and Cherry Tomatoes ",http://www.epicurious.com/recipes/food/views/baked-halibut-with-orzo-spinach-and-cherry-tomatoes-232872,4.375
42,Honey Rye ,http://www.epicurious.com/recipes/food/views/vieux-carre-cocktail,0.0
43,Purple-Potato and Crab Gratin ,http://www.epicurious.com/recipes/food/views/purple-potato-and-crab-gratin-15629,3.75
44,"Grilled Beef, Jícama, and Apple Salad ",http://www.epicurious.com/recipes/food/views/grilled-beef-jicama-and-apple-salad-51182800,4.375
45,Pickled Red Onions ,http://www.epicurious.com/recipes/food/views/cucumber-dill-salad-51238020,4.375
46,Spicy Black Beans and Rice ,http://www.epicurious.com/recipes/food/views/ants-climbing-a-tree,3.75
47,Herbed Goat Cheese Spread with Mint ,http://www.epicurious.com/recipes/food/views/herbed-goat-cheese-spread-with-mint-350819,4.375
48,Mexican Lime Soup ,http://www.epicurious.com/recipes/food/views/shrimp-with-chochoyotes-in-smoky-herby-broth,4.375
49,Citrus Salad with Mint Sugar ,http://www.epicurious.com/recipes/food/views/citrus-salad-with-mint-sugar-368291,4.375
50,Mexican Chile and Mushroom Soup ,http://www.epicurious.com/recipes/food/views/mexican-chile-and-mushroom-soup-230743,3.125
51,Peanut Butter-Banana Muffins ,http://www.epicurious.com/recipes/food/views/peanut-butter-banana-muffins-5456,3.75
52,Braised Chicken With Artichokes and Olives ,http://www.epicurious.com/recipes/food/views/braised-chicken-with-artichokes-and-olives-51150800,4.375
53,Pancetta Roast Chicken with Walnut Stuffing ,http://www.epicurious.com/recipes/food/views/pancetta-roast-chicken-with-walnut-stuffing-242138,5.0
54,1977 Coconut Angel Food Cake ,http://www.epicurious.com/recipes/food/views/1977-coconut-angel-food-cake-11034,3.75
55,Collard-and-Prosciutto Chicken Roulades Over Watercress Salad ,http://www.epicurious.com/recipes/food/views/collard-and-prosciutto-chicken-roulades-over-watercress-salad,5.0
56,Veal Burgers Stuffed with Mozzarella Cheese ,http://www.epicurious.com/recipes/food/views/veal-burgers-stuffed-with-mozzarella-cheese-102866,4.375
57,Pumpkin Muffins ,http://www.epicurious.com/recipes/food/views/pumpkin-muffins-362109,4.375
58,Orange Balsamic Glaze ,http://www.epicurious.com/recipes/food/views/salmon-steak-with-orange-balsamic-glaze-238823,3.75
59,Roasted Eggplant and Olive Spread with Pita Bread Chips ,http://www.epicurious.com/recipes/food/views/roasted-eggplant-and-olive-spread-with-pita-bread-chips-103225,3.75
60,Pecan Blue Cheese Crackers ,http://www.epicurious.com/recipes/food/views/pecan-blue-cheese-crackers-14555,3.75
61,"Romaine, Grilled Avocado, and Smoky Corn Salad with Chipotle-Caesar Dressing ",http://www.epicurious.com/recipes/food/views/romaine-grilled-avocado-and-smoky-corn-salad-with-chipotle-caesar-dressing-353664,4.375
62,Southwest Corn Bread Stuffing with Corn and Green Chilies ,http://www.epicurious.com/recipes/food/views/buttermilk-corn-bread-105770,5.0
63,Colin Perry’s Sorghum and Apple Sticky Pudding ,It's a secret recipe! Only Yandex.Eda khows how to cook it! https://eda.yandex.ru/,0.0
64,Mixed Berry Pavlovas ,http://www.epicurious.com/recipes/food/views/mixed-berry-pavlovas-103405,3.75
65,Orange-Almond Cake with Chocolate Icing ,http://www.epicurious.com/recipes/food/views/orange-almond-cake-with-chocolate-icing-101009,4.375
66,Scarborough Fair Tofu Burger ,http://www.epicurious.com/recipes/food/views/scarborough-fair-tofu-burger-366471,3.125
67,Italian Vinaigrette ,http://www.epicurious.com/recipes/food/views/flat-beans-with-mustard-thyme-vinaigrette,3.75
68,White Chocolate Tartlets with Strawberries and Bananas ,http://www.epicurious.com/recipes/food/views/white-chocolate-tartlets-with-strawberries-and-bananas-103302,4.375
69,Tomato-Infused Bulgur Pilaf with Fresh Basil ,http://www.epicurious.com/recipes/food/views/tomato-infused-bulgur-pilaf-with-fresh-basil-51195020,0.0
70,"Roasted Butternut Squash, Rosemary, and Garlic Lasagne ",http://www.epicurious.com/recipes/food/views/roasted-butternut-squash-rosemary-and-garlic-lasagne-13479,4.375
71,Grilled Roast Beef and Stilton Sandwich ,http://www.epicurious.com/recipes/food/views/grilled-roast-beef-and-stilton-sandwich-1819,4.375
72,Pear-Hazelnut Cheesecakes with Pear-Raspberry Sauce ,http://www.epicurious.com/recipes/food/views/pear-hazelnut-cheesecakes-with-pear-raspberry-sauce-100660,3.75
73,Nut Butter ,http://www.epicurious.com/recipes/food/views/ramadan-date-cookies-qrass-bil-tamr,3.75
74,Cheese Ravioli with Fresh Tomato Sauce ,http://www.epicurious.com/recipes/food/views/cheese-ravioli-with-fresh-tomato-sauce-239029,3.75
75,Banana Layer Cake with Cream Cheese Frosting ,http://www.epicurious.com/recipes/food/views/banana-layer-cake-with-cream-cheese-frosting-4694,4.375
76,South American-Style Jícama and Orange Salad ,http://www.epicurious.com/recipes/food/views/south-american-style-jicama-and-orange-salad-11651,3.125
77,Roasted Acorn Squash and Chestnuts ,http://www.epicurious.com/recipes/food/views/roasted-acorn-squash-and-chestnuts-15699,3.75
78,Maple Pumpkin Pots de Crème ,http://www.epicurious.com/recipes/food/views/maple-pumpkin-pots-de-creme-107388,4.375
79,Anadama Rolls with Mixed Seeds ,http://www.epicurious.com/recipes/food/views/anadama-rolls-with-mixed-seeds-100345,3.75
80,"Braised Chicken and Rice with Orange, Saffron, Almond, and Pistachio Syrup ",http://www.epicurious.com/recipes/food/views/braised-chicken-and-rice-with-orange-saffron-almond-and-pistachio-syrup-358563,4.375
81,Horseradish Dill Potato Salad ,http://www.epicurious.com/recipes/food/views/dilled-lobster-avocado-and-potato-salad-with-horseradish-dressing-lieber-15271,4.375
82,Chicken in Green Pumpkin-Seed Sauce ,http://www.epicurious.com/recipes/food/views/chicken-in-green-pumpkin-seed-sauce-108053,4.375
83,Jeweled Rice ,http://www.epicurious.com/recipes/food/views/jeweled-rice-51169120,5.0
84,Braised Brisket with Bourbon-Peach Glaze ,http://www.epicurious.com/recipes/food/views/braised-brisket-with-bourbon-peach-glaze-388709,4.375
85,Grilled Pork Chops with Classic Barbecue Sauce ,http://www.epicurious.com/recipes/food/views/grilled-pork-chops-with-classic-barbecue-sauce-15066,4.375
86,Bacon Crackers ,http://www.epicurious.com/recipes/food/views/bacon-crackers-classic-herbed-and-brown-sugar,0.0
87,Roast Chicken With Sorghum and Squash ,http://www.epicurious.com/recipes/food/views/roast-chicken-legs-with-sorghum-and-squash,0.0
88,Asparagus with Bacon and Onion ,http://www.epicurious.com/recipes/food/views/asparagus-with-bacon-and-onion-234149,4.375
89,Ricotta Omelets ,http://www.epicurious.com/recipes/food/views/ricotta-omelets-51169520,3.75
90,"Carrot, Snow Pea, and Red Pepper Julienne in Honey Vinaigrette ",http://www.epicurious.com/recipes/food/views/carrot-snow-pea-and-red-pepper-julienne-in-honey-vinaigrette-14006,3.75
91,Salmon with Chili-Mango Salsa ,http://www.epicurious.com/recipes/food/views/salmon-with-chili-mango-salsa-103886,4.375
92,Turkey and Pinto Bean Chili ,http://www.epicurious.com/recipes/food/views/turkey-and-pinto-bean-chili-102536,4.375
93,Cucumber-Yogurt Salad with Mint ,http://www.epicurious.com/recipes/food/views/naamas-fattoush-51115620,3.75
94,Lamb Shanks Braised with Anise and Orange ,http://www.epicurious.com/recipes/food/views/lamb-shanks-braised-with-anise-and-orange-5693,3.125
95,Parsley Mayo ,http://www.epicurious.com/recipes/food/views/black-eyed-pea-burgers-with-creamy-barbecue-sauce-and-chowchow,0.0
96,Acini di Pepe Pasta with Garlic and Olives ,http://www.epicurious.com/recipes/food/views/-em-acini-di-pepe-em-pasta-with-garlic-and-olives-242604,4.375
97,Roast Beef Salad with Cabbage and Horseradish ,http://www.epicurious.com/recipes/food/views/roast-beef-salad-with-cabbage-and-horseradish-411,3.125
98,Savoy Cabbage and Arugula Salad ,http://www.epicurious.com/recipes/food/views/savoy-cabbage-and-arugula-salad-14981,3.125
99,"Fennel, Beet and Orange Salad with Olives ",http://www.epicurious.com/recipes/food/views/fennel-beet-and-orange-salad-with-olives-102644,4.375
100,Shrimp Gazpacho ,http://www.epicurious.com/recipes/food/views/a-summers-night-shrimp-cocktail-51249430,4.375
101,Grilled Steak Salad with Beets and Scallions ,http://www.epicurious.com/recipes/food/views/grilled-steak-salad-with-beets-and-scallions-56389546,3.125
102,Parsnip and Apple Soup ,http://www.epicurious.com/recipes/food/views/parsnip-and-apple-soup-230916,4.375
103,Short Rib Pot Pie ,http://www.epicurious.com/recipes/food/views/short-rib-pot-pie-51223890,5.0
104,Stout Floats ,http://www.epicurious.com/recipes/food/views/stout-floats-with-cocoa-syrup-363725,3.125
105,Apricot-Pistachio Muffins Baked on the Grill ,http://www.epicurious.com/recipes/food/views/apricot-pistachio-muffins-baked-on-the-grill-51241420,5.0
106,Garlic Bruschetta ,http://www.epicurious.com/recipes/food/views/ricks-basic-crostini-241049,3.75
107,Asian Noodles with Barbecued Duck Confit ,http://www.epicurious.com/recipes/food/views/asian-noodles-with-barbecued-duck-confit-243565,5.0
108,Sausage Fennel Stuffing ,http://www.epicurious.com/recipes/food/views/if-it-aint-broke-dont-fix-it-stuffing,4.375
109,Banana Split with Curried Chocolate-Coconut Sauce ,http://www.epicurious.com/recipes/food/views/banana-split-with-curried-chocolate-coconut-sauce-234829,3.75
110,Escarole and Cheese Spoon Bread ,http://www.epicurious.com/recipes/food/views/escarole-and-cheese-spoon-bread-1713,4.375
111,Honey-Ginger Barbecue Sauce ,http://www.epicurious.com/recipes/food/views/ginger-mustard-barbecue-sauce,4.375
112,"Baked Pears with Rosemary, Gorgonzola Cheese and Port ",http://www.epicurious.com/recipes/food/views/baked-pears-with-rosemary-gorgonzola-cheese-and-port-216,3.75
113,Kids' Matzoh Pizza ,http://www.epicurious.com/recipes/food/views/kids-matzoh-pizza-104860,3.125
114,"Cranberry, Quince, and Pearl Onion Compote ",http://www.epicurious.com/recipes/food/views/cranberry-quince-and-pearl-onion-compote-350642,3.75
115,Chocolate-Mint Shamrock Shake ,http://www.epicurious.com/recipes/food/views/chocolate-mint-shamrock-shake-51226420,5.0
116,Tropical Rum Punch ,http://www.epicurious.com/recipes/food/views/punch-a-la-noix-de-coco-358571,5.0
117,Chickpea Salad Sandwich With Creamy Carrot-Radish Slaw ,http://www.epicurious.com/recipes/food/views/chickpea-salad-sandwich-with-creamy-carrot-radish-slaw,3.75
118,Blackberry-Raspberry Sauce ,http://www.epicurious.com/recipes/food/views/white-chocolate-praline-ice-cream-terrine-with-blackberry-raspberry-sauce-231325,4.375
119,Laddie's Sub-Bourbon ,It's a secret recipe! Only Yandex.Eda khows how to cook it! https://eda.yandex.ru/,2.5
120,Red Cabbage and Onions ,http://www.epicurious.com/recipes/food/views/baked-falafel-with-orange-tahini-sauce,3.75
121,"Roast Cod with Potatoes, Onions, and Olives ",http://www.epicurious.com/recipes/food/views/roast-cod-with-potatoes-onions-and-olives-14440,3.75
122,Spicy Tomato Sauce ,http://www.epicurious.com/recipes/food/views/vegan-enchiladas-mashed-potato,0.0
123,Cod Cannelloni with Swiss Chard and Roasted Pepper ,http://www.epicurious.com/recipes/food/views/cod-cannelloni-with-swiss-chard-and-roasted-pepper-14442,2.5
124,Swiss Chard with Roasted Pepper ,http://www.epicurious.com/recipes/food/views/cod-cannelloni-with-swiss-chard-and-roasted-pepper-14442,3.75
125,Chocolate Almond Butter ,http://www.epicurious.com/recipes/food/views/coconut-macaroons,0.0
126,Pastry Dough ,http://www.epicurious.com/recipes/food/views/cream-cheese-pastry-dough-101585,5.0
127,Roasted Bell Pepper Halves Stuffed with Bulgur and Spinach ,http://www.epicurious.com/recipes/food/views/roasted-bell-pepper-halves-stuffed-with-bulgur-and-spinach-230629,4.375
128,Spicy Sesame Noodles with Chopped Peanuts and Thai Basil ,http://www.epicurious.com/recipes/food/views/spicy-sesame-noodles-with-chopped-peanuts-and-thai-basil-238798,4.375
129,Potato Gratin with Goat Cheese and Garlic ,http://www.epicurious.com/recipes/food/views/potato-gratin-with-goat-cheese-and-garlic-104727,4.375
130,Country Sausage and Sage Dressing ,http://www.epicurious.com/recipes/food/views/cornbread-sausage-stuffing,4.375
131,Cherry Lime Virgin Rickeys ,http://www.epicurious.com/recipes/food/views/cherry-lime-virgin-rickeys-239268,0.0
132,Buttermilk-Spinach Spaetzle ,http://www.epicurious.com/recipes/food/views/buttermilk-spinach-spaetzle-962,2.5
133,Radishes with Burrata ,http://www.epicurious.com/recipes/food/views/radishes-with-burrata-51234820,5.0
134,Winter Squash Soufflé ,http://www.epicurious.com/recipes/food/views/delicata-squash-sformato-51120210,3.75
135,Blueberry Streusel Cake ,http://www.epicurious.com/recipes/food/views/blueberry-streusel-cake-354217,3.75
136,Low-Fat Chicken Stock ,http://www.epicurious.com/recipes/food/views/low-fat-chicken-stock-106092,0.0
137,Honey Mustard Sauce ,http://www.epicurious.com/recipes/food/views/ginger-mustard-barbecue-sauce,3.75
138,Rosemary and Lemon Pinto Beans ,http://www.epicurious.com/recipes/food/views/rosemary-and-lemon-pinto-beans-5489,3.75
139,Asian Dipping Sauce ,http://www.epicurious.com/recipes/food/views/thai-muslim-style-grilled-chicken,0.0
140,Shrimp and Green Onion Pancakes ,http://www.epicurious.com/recipes/food/views/shrimp-and-green-onion-pancakes-353891,3.75
141,"Gnocchi with Tomato, Basil, and Olives ",http://www.epicurious.com/recipes/food/views/gnocchi-with-tomato-basil-and-olives-105867,4.375
142,Mustard-Ginger Shrimp Canapes ,http://www.epicurious.com/recipes/food/views/mustard-ginger-shrimp-canapes-12138,4.375
143,Rumbrosia ,http://www.epicurious.com/recipes/food/views/rumbrosia-230563,3.125
144,Roasted Root Vegetables ,http://www.epicurious.com/recipes/food/views/roasted-and-marinated-root-vegetables,4.375
145,Thai Vegetables ,http://www.epicurious.com/recipes/food/views/broiled-eggplant-salad-sumac-chicken-pine-nuts,3.75
146,Sage-Roasted Turkey with Caramelized Onions and Sage Gravy ,http://www.epicurious.com/recipes/food/views/sage-roasted-turkey-with-caramelized-onions-and-sage-gravy-102479,4.375
147,Shrimp Cakes with Andouille Sausage ,http://www.epicurious.com/recipes/food/views/shrimp-cakes-with-andouille-sausage-106163,4.375
148,Creamy Tofu Salad ,http://www.epicurious.com/recipes/food/views/creamy-ginger-dressing-bryant-terry,3.125
149,Chocolate-Cherry Ice Cream Pie with Hot Fudge Sauce ,http://www.epicurious.com/recipes/food/views/chocolate-cherry-ice-cream-pie-with-hot-fudge-sauce-105186,3.75
150,Jalapeño-Cheddar Frittata ,http://www.epicurious.com/recipes/food/views/jalapeno-cheddar-frittata-104458,4.375
151,Roasted Beets and Citrus with Feta ,http://www.epicurious.com/recipes/food/views/roasted-beets-and-citrus-with-feta-363732,4.375
152,"Green Beans with Crisp Shallots, Chile, and Mint ",http://www.epicurious.com/recipes/food/views/green-beans-with-crisp-shallots-chile-and-mint-108507,4.375
153,Potato Gnocchi with Shrimp and Peas ,http://www.epicurious.com/recipes/food/views/potato-gnocchi-with-shrimp-and-peas-232659,3.125
154,Cranberry Pear Tart with Gingerbread Crust ,http://www.epicurious.com/recipes/food/views/cranberry-pear-tart-with-gingerbread-crust-10946,3.75
155,"Sauteed Veal with Shrimp, Mushroom, and Brandy Cream Sauce ",http://www.epicurious.com/recipes/food/views/sauteed-veal-with-shrimp-mushroom-and-brandy-cream-sauce-106115,4.375
156,Lemon Vinaigrette ,http://www.epicurious.com/recipes/food/views/grilled-swordfish-steaks-with-whole-lemon-dressing,3.75
157,Mackerel with Crushed Potatoes and Oregano ,http://www.epicurious.com/recipes/food/views/mackerel-with-crushed-potatoes-and-oregano-51210060,4.375
158,"Cranberry, Shallot, and Dried-Cherry Compote ",http://www.epicurious.com/recipes/food/views/cranberry-shallot-and-dried-cherry-compote-108761,5.0
159,Oriental Chicken and Cabbage Salad ,http://www.epicurious.com/recipes/food/views/oriental-chicken-and-cabbage-salad-214,3.75
160,Peanut Butter Cream Tart ,http://www.epicurious.com/recipes/food/views/fresh-fruit-berry-tart-with-almond-press-in-crust,4.375
161,Cheddar Chicken Tenders with Wilted Spinach ,http://www.epicurious.com/recipes/food/views/cheddar-chicken-tenders-with-wilted-spinach-236019,3.75
162,Blueberry Cheesecake ,http://www.epicurious.com/recipes/food/views/blueberry-icebox-pie-230134,5.0
163,Dark Chocolate Wedding Cake with Chocolate Orange Ganache and Orange Buttercream ,http://www.epicurious.com/recipes/food/views/dark-chocolate-wedding-cake-with-chocolate-orange-ganache-and-orange-buttercream-13244,4.375
164,Apple Pie with Whisky-Soaked Cherries ,http://www.epicurious.com/recipes/food/views/apple-pie-with-whisky-soaked-cherries-232899,4.375
165,Parsleyed Yellow-Potato Salad ,http://www.epicurious.com/recipes/food/views/parsleyed-yellow-potato-salad-12151,3.75
166,Sauteed Fennel and Carrots ,http://www.epicurious.com/recipes/food/views/lemon-garlic-lamb-chops-with-yogurt-sauce-102937,4.375
167,Grilled Garlic-Marinated Skirt Steak with Lime ,http://www.epicurious.com/recipes/food/views/cebollitas-asadas-14150,4.375
168,Miniature Crab Cakes with Tomato Ginger Jam ,http://www.epicurious.com/recipes/food/views/tomato-ginger-jam-106392,4.375
169,Egg Sandwich with Green Bean Slaw ,http://www.epicurious.com/recipes/food/views/egg-sandwich-with-green-bean-slaw-51169610,0.0
170,Red Wine Brasato with Glazed Root Vegetables ,http://www.epicurious.com/recipes/food/views/red-wine-brasato-with-glazed-root-vegetables-237035,3.75
171,Tomato Jam ,http://www.epicurious.com/recipes/food/views/sweet-corn-frittata-with-cherry-tomato-compote,3.75
172,Egg Salad with Lemon and Fennel ,http://www.epicurious.com/recipes/food/views/baked-apples-with-candied-fennel-and-pistachios-358133,4.375
173,Steamed Chicken with Black Mushrooms and Bok Choy ,http://www.epicurious.com/recipes/food/views/steamed-chicken-with-black-mushrooms-and-bok-choy-230450,4.375
174,Shaved Brussels Sprout and Shallot Sauté ,http://www.epicurious.com/recipes/food/views/shaved-brussels-sprout-and-shallot-saute-240111,4.375
175,Molten Peanut Butter and Chocolate Fondant Cakes ,http://www.epicurious.com/recipes/food/views/molten-peanut-butter-and-chocolate-fondant-cakes-56390085,2.5
176,Roasted Carrot and Beet Salad with Feta ,http://www.epicurious.com/recipes/food/views/roasted-carrot-and-beet-salad-with-feta-368264,4.375
177,Cassata Cake ,http://www.epicurious.com/recipes/food/views/cassata-cake-359950,4.375
178,Baked Beans with Slab Bacon and Breadcrumbs ,http://www.epicurious.com/recipes/food/views/baked-beans-with-slab-bacon-and-breadcrumbs-51264630,4.375
179,Grilled Corn with Lime-Cilantro Butter ,http://www.epicurious.com/recipes/food/views/grilled-corn-with-lime-cilantro-butter-358137,5.0
180,Roasted Winter Squash and Parsnips with Maple Syrup Glaze and Marcona Almonds ,http://www.epicurious.com/recipes/food/views/roasted-winter-squash-and-parsnips-with-maple-syrup-glaze-and-marcona-almonds-350453,4.375
181,Snapper Escabèche with Charred Scallions ,http://www.epicurious.com/recipes/food/views/snapper-escabeche-with-charred-scallions-56389671,0.0
182,Maple Butter-Pecan Ice Cream ,http://www.epicurious.com/recipes/food/views/maple-butter-pecan-ice-cream-14208,5.0
183,Grilled Vegetable Antipasto with Herbed Chevre and Crostini ,http://www.epicurious.com/recipes/food/views/grilled-vegetable-antipasto-with-herbed-chevre-and-crostini-355947,5.0
184,Roasted Bell Peppers with Basil and Balsamic Vinegar ,http://www.epicurious.com/recipes/food/views/roasted-bell-peppers-with-basil-and-balsamic-vinegar-2193,5.0
185,Homemade Tomato Ketchup ,http://www.epicurious.com/recipes/food/views/homemade-tomato-ketchup-12260,3.75
186,Potato Gratin with Goat Cheese ,http://www.epicurious.com/recipes/food/views/potato-gratin-with-goat-cheese-51259670,0.0
187,Char-Grilled Beef Tenderloin with Three-Herb Chimichurri ,http://www.epicurious.com/recipes/food/views/char-grilled-beef-tenderloin-with-three-herb-chimichurri-235342,4.375
188,Pork Roast Braised with Milk and Fresh Herbs (Maiale al Latte ) ,http://www.epicurious.com/recipes/food/views/pork-roast-braised-with-milk-and-fresh-herbs-em-maiale-al-latte-em-242034,3.75
189,Seasoned Nori Wrappers ,http://www.epicurious.com/recipes/food/views/seasoned-nori-wrappers-238541,5.0
190,Chocolate Pecan Banana Tarts ,http://www.epicurious.com/recipes/food/views/chocolate-pecan-banana-tarts-13065,4.375
191,Chocolate Hazelnut Pound Cake with Chocolate Glaze ,http://www.epicurious.com/recipes/food/views/chocolate-glaze-14009,3.75
192,Tarragon Tartar Sauce ,http://www.epicurious.com/recipes/food/views/tarragon-tartar-sauce-15337,3.75
193,Chili Meatballs in Black Bean and Tomato Sauce ,http://www.epicurious.com/recipes/food/views/chili-meatballs-in-black-bean-and-tomato-sauce-56390071,4.375
194,Orange Mint Julep ,http://www.epicurious.com/recipes/food/views/orange-mint-julep-51223930,5.0
195,Coq au Vin Nouveau ,http://www.epicurious.com/recipes/food/views/coq-au-vin-nouveau-41,4.375
196,Lemon-Parsley Linguine ,http://www.epicurious.com/recipes/food/views/shrimp-scampi,3.125
197,Marbled Raspberry Cream ,http://www.epicurious.com/recipes/food/views/warm-lemon-pudding-cakes-with-marbled-raspberry-cream-5184,5.0
198,Sangria IV ,http://www.epicurious.com/recipes/food/views/sangria-iv-201204,5.0
199,Apple and Prune Tart with Vanilla Ice Cream and Cognac ,http://www.epicurious.com/recipes/food/views/apple-and-prune-tart-with-vanilla-ice-cream-and-cognac-104612,4.375
200,Smoky Plantain Crema ,http://www.epicurious.com/recipes/food/views/smoky-plantain-crema-108216,4.375
201,Southwest Veggie Nachos ,http://www.epicurious.com/recipes/food/views/southwest-veggie-nachos-51144440,5.0
202,Pork Chops with Sweet-and-Sour Cider Glaze ,http://www.epicurious.com/recipes/food/views/pork-chops-with-sweet-and-sour-cider-glaze-104392,4.375
203,Calabrian Chile Butter ,http://www.epicurious.com/recipes/food/views/calabrian-chile-butter,0.0
204,Chicken and Sausage Jambalaya ,http://www.epicurious.com/recipes/food/views/chicken-and-sausage-jambalaya-364172,5.0
205,"""Seder Plate"" Salad ",http://www.epicurious.com/recipes/food/views/seder-plate-salad,0.0
206,Veal Scallops with Mushrooms and Herbs ,http://www.epicurious.com/recipes/food/views/veal-scallops-with-mushrooms-and-herbs-12099,4.375
